article_title,final_url,outlet_name,media_type,publish_date,pr_value,ave,reach,_yyyymm,Bank,Tier,Topic
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา 362 DEGREE,https://www.362degree.com/2026/05/13/บัตรเครดิต-ttb-ช่วยคนกรุง/,362degree.com,Online,13/5/2026,"35,424","11,808","4,624",202605,ttb,,
ttb analytics จับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้นจากความเปราะบางของ เศรษฐกิจไทยต่อวิกฤตพลังงานและความไม่แน่นอนของนโยบายการเงินโลก,http://www.acnews.net/detailnews_eco.php?news_id=N256976423,acnews.net,Online,13/5/2026,"15,000","5,000",,202605,ttb,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา,http://www.acnews.net/detailnews_eco.php?news_id=N256976437,acnews.net,Online,13/5/2026,"15,000","5,000",,202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET?S ยกระดับประสบการณ์ใช้พอยท์ รูปแบบใหม่,http://www.acnews.net/detailnews_eco.php?news_id=N256976416,acnews.net,Online,13/5/2026,"15,000","5,000",,202605,SCB,,
ธ.ก.ส. ร่วมกับ TTB เปิดมาตรการช่วยเหลือเงินกู้ฉุกเฉินเพื่อเกษตรกรผ่อนสูงสุด 60 เดือน > ศูนย์ต่อต้านข่าวปลอมประเทศไทย,https://www.antifakenewscenter.com/news/activity/ธ-ก-ส-ร่วมกับ-ttb-เปิดมาตรการช่วยเหลือเงินกู้ฉุกเฉินเพื่อเกษตรกรผ่อนสูงสุด-60-เดือน,antifakenewscenter.com,Online,13/5/2026,"138,942","46,314","82,495",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET'S ยกระดับประสบการณ์ใช้พอยท์ รูปแบบใหม่,https://www.bangkokfocusnews.com/2026/05/scb-pointx-scb-lets.html,bangkokfocusnews.com,Online,13/5/2026,"15,000","5,000",,202605,SCB,,
ทีทีบีจับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้นจากความเปราะบางของเศรษฐกิจ ไทยต่อวิกฤตพลังงาน,https://www.banmuang.co.th/news/finance/475923,banmuang.co.th,Online,13/5/2026,"172,986","57,662","146,696",202605,ttb,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา,https://www.banmuang.co.th/news/finance/475955,banmuang.co.th,Online,13/5/2026,"172,986","57,662","146,696",202605,ttb,,
ttb analytics จับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้นจากความเปราะบางของ เศรษฐกิจไทยต่อวิกฤตพลังงานและความไม่แน่นอนของนโยบายการเงินโลก,https://bizbuzznewsonline.com/2026/05/13/ttb-analytics-จับสัญญาณเงินบาทครึ่/,bizbuzznewsonline.com,Online,13/5/2026,"15,000","5,000",,202605,ttb,,
ttb analytics จับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้นจากความเปราะบางของ เศรษฐกิจไทยต่อวิกฤตพลังงานและความไม่แน่นอนของนโยบายการเงินโลก,https://www.biztodaynews.com/blog/20939/ttb-analytics-2026,biztodaynews.com,Online,13/5/2026,"15,000","5,000",,202605,ttb,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา,https://www.biztodaynews.com/blog/20950/ttb-credit-cards-help-bangkok-residents-reduce-their-expenses,biztodaynews.com,Online,13/5/2026,"15,000","5,000",,202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET'S,https://www.bluechipthai.com/news-SCBจับมือPOINTXอัดแค-3630393434,bluechipthai.com,Online,13/5/2026,"43,209","14,403","7,152",202605,SCB,,
ttb analytics จับตาค่าเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่าจากวิกฤตพลังงานและนโยบายการเงินโลก,https://brickinfotv.com/news/309307,brickinfotv.com,Online,13/5/2026,"45,303","15,101","7,898",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET'S,https://www.businessownertv.com/44285/,businessownertv.com,Online,13/5/2026,"15,000","5,000",,202605,SCB,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา,http://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?id=U3BuRXA0Si9NQUk9,efinancethai.com,Online,13/5/2026,"160,872","53,624","119,973",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LETS ยกระดับประสบการณ์ใช้พอยท์รูป แบบใหม่,http://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?id=Yk13eGcrbE5uK2M9,efinancethai.com,Online,13/5/2026,"160,872","53,624","119,973",202605,SCB,,
ธ.ก.ส. ร่วมกับ TTB เปิดมาตรการช่วยเหลือเงินกู้ฉุกเฉินเพื่อเกษตรกรผ่อนสูงสุด 60 เดือน . บัญชี TikTok ปลอมยืนยัน,https://www.facebook.com/245293061456374/posts/958503203468686,Facebook - Anti-Fake News Center Thailand,Online,13/5/2026,"60,000","20,000","138,111",202605,ttb,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา ท่ามกลางภาวะค่าครองชีพที่ปรับตัวสูงขึ้นอย่างต่อเนื่องค่าใช้จ่าย,https://www.facebook.com/803064174835132/posts/1604483284693213,Facebook - Bangkok wealth & biz,Online,13/5/2026,"15,000","5,000","5,436",202605,ttb,,
"SCB ตอกย้ำบทบาท ""ผู้นำการเงินยุคใหม่""หลังคว้าอันดับ 1 จากผลวิจัย 2026 Thailand's Most Admired Brand สะท้อนความสำเร็จของกลยุทธ์ที่ไม่ได้มอง",https://www.facebook.com/462095542625336/posts/1447604310741116,Facebook - BrandAge Online,Online,13/5/2026,"120,000","40,000","620,609",202605,SCB,,
"May 13, 2026 แคมเปญใหม่! SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LETS ตอบโจทย์ทุกไลฟ์สไตล์ในชีวิตประจำวันของผู้บริโภค",https://www.facebook.com/806131804210598/posts/1540534744103630,Facebook - BTimes,Online,13/5/2026,"120,000","40,000","547,859",202605,SCB,,
"บรรยากาศคลาส On site หลักสูตร ttb Wealth Investment Advisory Mastery รุ่นที่ 2 บรรยายโดยดร.ชาติชายมีสุขโข, CFP อีกหนึ่ง",https://www.facebook.com/549529657175739/posts/1585671830228178,Facebook - CMSK ศูนย์กลางทักษะและความรู้ด้านการเงินครบวงจร,Online,13/5/2026,"30,000","10,000","22,218",202605,ttb,,
ttb analytics จับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้นจากความเปราะบางของ เศรษฐกิจไทยต่อวิกฤตพลังงานและความไม่แน่นอนของนโยบาย,https://www.facebook.com/401896912367688/posts/1005506212006752,Facebook - Fanpage AC-NEWS,Online,13/5/2026,"15,000","5,000","2,344",202605,ttb,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา https://www.acnews.net/detailnews.php?news_id=N256976437,https://www.facebook.com/401896912367688/posts/1005629925327714,Facebook - Fanpage AC-NEWS,Online,13/5/2026,"15,000","5,000","2,344",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET'S ยกระดับประสบการณ์ใช้พอยท์รูปแบบใหม่ https://www.acnews.net/detailnews.php?news_id=N256976416,https://www.facebook.com/401896912367688/posts/1005464452010928,Facebook - Fanpage AC-NEWS,Online,13/5/2026,"15,000","5,000","2,344",202605,SCB,,
ttb analyticsมองเงินบาทครึ่งหลังปีเสี่ยงอ่อนค่ามากขึ้นติดตามนโยบายการเงินโลก ศูนย์วิเคราะห์เศรษฐกิจธนาคารทหารไทยธนชาต(ttb analytics)มอง,https://www.facebook.com/496170412514364/posts/1593677056097022,Facebook - MGRonlineผู้จัดการตลาดเงิน,Online,13/5/2026,"15,000","5,000","3,978",202605,ttb,,
"""SCB""จับมือ""POINTX""อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LETS ยกระดับประสบการณ์ ใช้พอยท์รูปแบบใหม่ #SCB #POINTX #SCBLETS",https://www.facebook.com/787543725551324/posts/1751720885800265,Facebook - MONEY LIFE,Online,13/5/2026,"15,000","5,000",791,202605,SCB,,
"แม้สถานการณ์ตะวันออกกลางจะเริ่มคลี่คลายแต่แรงกระเพื่อมจาก""ราคาพลังงาน"" ที่ยังสูง",https://www.facebook.com/122112336956299993/posts/122224396922299993,Facebook - PPTV Wealth,Online,13/5/2026,"60,000","20,000","117,039",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LET’S ยกระดับประสบการณ์ใช้พอยท์รูปแบบใหม่ https://successchannel.co/post_news?post_id=45175,https://www.facebook.com/607994927425230/posts/1594296092128437,Facebook - Success Channel,Online,13/5/2026,"15,000","5,000","6,856",202605,SCB,,
ศูนย์วิเคราะห์เศรษฐกิจทีทีบีหรือ ttb analytics มองค่าเงินบาทในช่วงครึ่งหลังของปี 2569 มีความ เสี่ยงอ่อนค่าแม้ว่าสถานการณ์ในตะวันออกกลางจะ,https://www.facebook.com/540773868050259/posts/1605952288199073,Facebook - The Balance,Online,13/5/2026,"30,000","10,000","24,906",202605,ttb,,
ความผันผวนด้านพลังงานคือสัญญาณเตือนว่าโครงสร้างแบบเดิมอาจไม่ตอบโจทย์อนาคต ธุรกิจจึงต้องพร้อมปรับเปลี่ยนมุมมองเรื่องพลังงานจากในมุมของ,https://www.facebook.com/298794589150996/posts/1059999419697172,Facebook - ttb bank,Online,13/5/2026,"180,000","60,000","2,769,356",202605,ttb,,
รวมหนี้ไว้ที่เดียวกับทีทีบีไดรฟ์ช่วยลดค่างวดวางแผนปิดหนี้ได้จริงทางลัดดีๆจากสินเชื่อรถแลกเงินทีทีบีไดรฟ์เคลียร์หนี้ &#128184,https://www.facebook.com/298794589150996/posts/1060032249693889,Facebook - ttb bank,Online,13/5/2026,"180,000","60,000","2,769,356",202605,ttb,,
ออกแบบอนาคตลูกสร้างชีวิตที่มั่นคงทุกช่วงวัย รับเงินคืนสูงทุกปีออกแบบได้ตามแผนพร้อมคุ้มครองโรคร้าย ด้วยประกันชีวิตทีทีบีอินฟินิตี,https://www.facebook.com/298794589150996/posts/1060070683023379,Facebook - ttb bank,Online,13/5/2026,"180,000","60,000","2,769,356",202605,ttb,,
ลูกค้าบัตร ttb ช้อปคุ้มทุกไอเทมที่ Advice และ Advice iStore แบ่งชำระสบาย 0% นานสูงสุด 36 เดือน (สำหรับสินค้าที่ร่วมรายการ) พร้อม,https://www.facebook.com/298794589150996/posts/1060153686348412,Facebook - ttb bank,Online,13/5/2026,"180,000","60,000","2,769,356",202605,ttb,,
"ทีทีบีเปิดรับผู้มีประสบการณ์ที่พร้อมขับเคลื่อนงานสำคัญและสร้าง Make REAL Change ครอบคลุมสายงานตั้งแต่ Anti Fraud, Digital Audit, Global",https://www.facebook.com/298794589150996/posts/1060252613005186,Facebook - ttb bank,Online,13/5/2026,"180,000","60,000","2,769,356",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LETS ยกระดับประสบการณ์ใช้พอยท์รูป แบบใหม่ ธนาคารไทยพาณิชย์เดินหน้ายกระดับ,https://www.facebook.com/184997890700037/posts/1033592762507208,Facebook - Unity News,Online,13/5/2026,"15,000","5,000","1,454",202605,SCB,,
บัตรเครดิต ttb ช่วยคนกรุงลดภาระค่าใช้จ่ายในการเดินทางขึ้นรถไฟฟ้าครึ่งราคา #ttbcreditcard # ให้ชีวิตการเงินดีทั้งวันนี้และอนาคต # เปลี่ยน,https://www.facebook.com/497469005717875/posts/1581700047294760,Facebook - เกาะกระแสเศรษฐกิจ,Online,13/5/2026,"15,000","5,000","1,917",202605,ttb,,
SCB จับมือ POINTX อัดแคมเปญใหญ่เอาใจผู้ถือบัตรเดบิต SCB LETS ยกระดับประสบการณ์ใช้พอยท์รูป แบบใหม่ ธนาคารไทยพาณิชย์เดินหน้ายกระดับ,https://www.facebook.com/497469005717875/posts/1581554160642682,Facebook - เกาะกระแสเศรษฐกิจ,Online,13/5/2026,"15,000","5,000","1,917",202605,SCB,,
ttb analytics จับสัญญาณเงินบาทครึ่งหลังปี 2569 เสี่ยงอ่อนค่ามากขึ้น จากความเปราะบางของเศรษฐกิจไทยต่อวิกฤตพลังงานและความไม่แน่นอนของนโยบาย,https://www.facebook.com/482883913849232/posts/1560589122745367,Facebook - บลูชิพ,Online,13/5/2026,"15,000","5,000","7,446",202605,ttb,,
