Post_URL,Caption,Category,Length
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid06EHgxPYqLZyLJZh4x2kfgiFXscNDqPMQWDVXHF6bkSYFMJQFuqQLcKW5FEVvScBSl,สนุกสนานมากเลยกับทีมนี้ค่ะ,General / Product Showcase,26
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02M37frwtLc4FSHXAeLd3tpnMZsyxFUotxWDiaFG8D1X2KPGfsqXsugJvQaMJWZEA8l,สนุกมากค่ะ น่าสนใจมากค่ะ อยากฉลองไปด้วยนะคะ,General / Product Showcase,43
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid031AQGtZkzETE31UXPQb1yJeoR13FP46XV7CA4HioMWEeRj2KQFJkBknurEUzMUKcJl,ปารีสแชมป์100,General / Product Showcase,13
https://www.facebook.com/reel/2104493113826029/,มีทุกวันไม่ค่ะหรือเฉพาะวันเสาร์อาทิตย์ ค่ะ,General / Product Showcase,42
https://www.facebook.com/reel/1905006910209664/,"ยกโทษให้มัมนะคะลู๊กกกกกก คราวหน้ามัมจะเอาทุเรียนไปง้อเบิ้มใหม่นะคะ
 รักหนูที่สุดนะคะ",General / Product Showcase,84
https://www.facebook.com/reel/2044202123175274/,แกล้งเพื่อนฉ่ำเลยลูก,General / Product Showcase,20
https://www.facebook.com/reel/965438509452199/,พี่คนหล่อสู้กลับแล้วตอนนี้,General / Product Showcase,26
https://www.facebook.com/reel/1008601151675114/,เพื่อพี่คนหล่อ อะไรที่ไม่ชอบก็ทำได้,General / Product Showcase,35
https://www.facebook.com/reel/1339524834697899/,ท่าเดินนี่ชัดมาก เหมือนครูเดินตรวจแถวเลย,General / Product Showcase,40
https://www.facebook.com/reel/1339524834697899/,คูมครูฝ่ายปกครองรึป่าวว,General / Product Showcase,23
https://www.facebook.com/reel/926222417121426/,ฉันผู้ขอให้เปิดเพลง,General / Product Showcase,19
https://www.facebook.com/reel/1641422600302107/,นึกว่าวันนี้น้องเป็นแมงกะพรุน,General / Product Showcase,29
https://www.facebook.com/reel/1332783785425312/,พี่ชัคคค ขาเล็กมากกกก,General / Product Showcase,21
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0gNNr2CHhSjsgmkagpsZuDNP1KLneN2cznQZnFRmSnJhha5D2pwwfucPxhwx5PUSol,เจ้าหญิง น้องแห่งบ้าน em จริงๆ,General / Product Showcase,30
https://www.facebook.com/EmporiumEmquartier/posts/pfbid02X4ma7bF6wZcwhTaZqmj5GhJh7kdYYgV6hBLPfRM3ULZab2whfpgRy6ydyHkQ1D8Tl,น้อมเคารพอย่างสูงครับขอบคุณครับสง่างามเสมอครับขอบคุณครับ,General / Product Showcase,56
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0hbajcLNkjzFAPyphRUVnrX7ctCh9KXovWktPP47y1C7srH6h7GPGTerNBZa5Yfixl,พบกันรอบ 18:00 คับ,General / Product Showcase,18
https://www.facebook.com/reel/993524656953333/,ตั่ยล้าวววววหล่อแพ็ตคู่มาก,General / Product Showcase,26
https://www.facebook.com/reel/4004313089698697/,ยิ่งโตยิ่งหล่อกันนะ,General / Product Showcase,19
https://www.facebook.com/EmporiumEmquartier/posts/pfbid0MiYNXLF9BJBxwLJssprLVDuNjr6ZxoUrYaPYWkcedqrbRKsBx3TFLEpQMK44Ldypl,ขอตารางคนนำเต้นหน่อยได้ไหมค่ะ,General / Product Showcase,29
https://www.facebook.com/reel/1735175024563647/,น่ารักกกก น่าเป็นเจ้าของงงง,General / Product Showcase,27
https://www.facebook.com/reel/1767931244170712/,หมัดเดียวจอด,General / Product Showcase,12
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02hjzQcibEo6BUmj7qtkfpT7oQdgjjCKAGC7v64qAQcHfquhMFvfKYXYiDvFfqzrtnl,ต้องร้าน butterbear สิ,General / Product Showcase,22
https://www.facebook.com/reel/1636881500898913/,"หน้าคล้ายแต่ไม่เหมือน
 แต่ถ้าความน่ารักความสดใส เหมือนกันคร้าา",General / Product Showcase,62
https://www.facebook.com/reel/2421716678339164/,โยฮัน โยริม โยโบ แล้วยังมีโยเยอีกหรอคะ แล้วยัยเนยก็ขยันลืมด้วยนะ,General / Product Showcase,64
https://www.facebook.com/reel/1702746067809238/,ก้อนอะไรกลม ๆ ดุ๊กดิ๊กได้ = ใช่,General / Product Showcase,31
https://www.facebook.com/reel/1992142718056611/,แกงพี่สาวฉ่ำ น้องเบิ้มของมี้,General / Product Showcase,28
https://www.facebook.com/reel/1710534816975966/,ขาวผ่องสุดๆ,General / Product Showcase,11
https://www.facebook.com/reel/1710534816975966/,พอกผิว 300%,General / Product Showcase,11
https://www.facebook.com/reel/1134231165547060/,"""ดีใจที่เนยมีเพื่อนเล่นเพิ่มนะคะ จะได้ไม่เหงาเนอะ มัมเอ็นดูความพยายามชวนทุกคนเต้นของหนูมาตลอดเลย ตอนนี้สมใจเนยแล้วที่มีพี่เบียงก้ามาเต้นด้วยกันแบบนี้""",General / Product Showcase,150
https://www.facebook.com/reel/1881022695934461/,"""ยินดีต้อนรับน้องเบียงก้านะคะ ดีใจที่สุดเลยที่เนยจะมีเพื่อนเล่นมาเพิ่มความสดใสและช่วยซัปพอร์ตกัน ทั้งเรื่องเต้นที่หนูรักและเป็นพลังใจที่ดีให้กันเสมอ... ขอบคุณหนูมากนะเบียงก้าที่เข้ามาทำให้หัวใจของมัมกว้างขึ้น ตอนนี้ในใจมัมมีลูกหมีสองตัวนั่งอยู่ด้วยกันแ… See more",General / Product Showcase,262
https://www.facebook.com/reel/987999430542299/,พี่เบียง น้องเบิ้ม,General / Product Showcase,18
https://www.facebook.com/reel/844326071484866/,เอาหล่ะ เอาหล่ะ หลังจากนี้ความหรรษคูณสองไปเลยจ้า เอ็นดูไม่ไหว,General / Product Showcase,61
https://www.facebook.com/reel/844326071484866/,Woraluk Halap จริงเลยค่าาา,General / Product Showcase,26
https://www.facebook.com/reel/3981756038623654/,ถ้าแปลงร่างเป็นคนก็....อัญญา อัยวา,General / Product Showcase,34
https://www.facebook.com/reel/1487896672834549/,เจ้าเด็กแสบคนเก่ง หมีดื้อ หมีดื้อ หมีแดดเดียว,General / Product Showcase,45
https://www.facebook.com/EmporiumEmquartier/posts/pfbid0URskDqsgpDHCZUMcKA5H7qWPXtAKiGCm1N6S1NKXSdApTRZikVed1odQDtNmcZFRl,Emporium Emquartier บุฟเฟ่ต์ทุเรียน สมาชิก M Card ที่เอ็มควอเทียร์ มีจัดวันไหนครับ??,General / Product Showcase,84
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid02sDY2tYRAMNftAv4mooWKiWEviV39UnYVmFKq8FrLk7arfhYh6F1YmneTJSTnhSSql,ทรงพระเจริญ,General / Product Showcase,11
https://www.facebook.com/EmporiumEmquartier/posts/pfbid03hqa3r6AEarvaMJ7QzFiZuP9mAm4vN9Fgq6f5MZEFqGFX6hvjXJEYDb3YeFqKnjXl,Wow… consumerism at its finest. Thailand’s household debt at 90% of the country’s GDP and then this shit pops up to encourage more people to spend and accumulate more debt on their credit cards.,General / Product Showcase,194
https://www.facebook.com/EmporiumEmquartier/posts/pfbid03hqa3r6AEarvaMJ7QzFiZuP9mAm4vN9Fgq6f5MZEFqGFX6hvjXJEYDb3YeFqKnjXl,Me who have no idea how to spend 10M in a shopping mall.,General / Product Showcase,56
https://www.facebook.com/photo/,So beautiful,General / Product Showcase,12
https://www.facebook.com/reel/1707203307306290/,เธอทำอะไรของเธอ ต้าวมงคล น่ารักอ่ะ,General / Product Showcase,34
https://www.facebook.com/reel/1709638610390748/,เดี๋ยวนะ..พิธีกรทำหน้าแบบ,General / Product Showcase,25
https://www.facebook.com/reel/1463190794740403/,"555 โคเรๆ 
 เฉิงเหล่ยพูดไทยชัดมากกกก",General / Product Showcase,36
https://www.facebook.com/reel/1689203505546254/,น่ารักมากๆเขยไทยอีกคน,General / Product Showcase,21
https://www.facebook.com/reel/2203925507038797/,อิเกีย ปะทะ นิโตริ เลยรึ EMS,General / Product Showcase,28
https://www.facebook.com/reel/1162338765969959/,"Becky x OPPO — a perfect blend of style, elegance, and power",General / Product Showcase,60
https://www.facebook.com/reel/1303770305188989/,Still not over how stunning she looked … becky is a whole masterpiece,General / Product Showcase,69
https://www.facebook.com/reel/1270572631380989/,"Grace in every expression, beauty in every detail",General / Product Showcase,49
https://www.facebook.com/reel/1267434685478341/,Becky’s beauty hits different every single time. She’s literally glowing,General / Product Showcase,72
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid0u4EZvY42xfRQnaTXotsJREKqn1Gu82GkDSUvq73VHPLRstRe78wH5XDkoiDeFJYWl,อยู่ไหนครับ,General / Product Showcase,11
https://www.facebook.com/reel/1294175786111182/,Calvin Klein found in Lingling Kwong the kind of relaxed refreshed energy that defines an entire season,General / Product Showcase,103
https://www.facebook.com/reel/1482081886925477/,1 เห็นด้วยครับ,General / Product Showcase,14
https://www.facebook.com/reel/2023552165173535/,เป็นฑูตวัฒนธรรมได้เลยลูก,General / Product Showcase,24
https://www.facebook.com/reel/2249544982120002/,หัวเราะน้อยๆหน่ย,General / Product Showcase,16
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid057dsmePMakdQqLcqVv8xeBpTnQGPGkF4Rz7xSw1Rx2tsD6Caqm9jJV1Gat8wfAN3l,เล่นน้ำถึงกี่ทุ่มครับ,General / Product Showcase,21
https://www.facebook.com/Emsphere.at.emdistrict/posts/pfbid057dsmePMakdQqLcqVv8xeBpTnQGPGkF4Rz7xSw1Rx2tsD6Caqm9jJV1Gat8wfAN3l,Mharer Foo ราวสามทุ่มค่ะ,General / Product Showcase,24
https://www.facebook.com/reel/1357935169703702/,หูหมี หูหมี หูหมีจะเปียก,General / Product Showcase,24
https://www.facebook.com/reel/946458894834921/,"น้องเนยสนุกสุด สนุกจนลืมเพื่อน
​",General / Product Showcase,32
