URL;Views;Engagement;Reactions;Comments;Shares
https://www.facebook.com/475015981334572/posts/1400963468739814;0;22;21;1;0
https://www.facebook.com/watch/?v=1647300186519362/;0;0;0;0;0
https://www.facebook.com/475835447910404/posts/1409511971209409;0;4;3;1;0
https://www.facebook.com/633398624818177/posts/1525142615643769;0;235;219;13;3
https://www.facebook.com/594263439399716/posts/1401691841990201;0;215;204;2;9
https://www.facebook.com/633676638773315/posts/1451965313611106;0;11;8;1;2
https://www.facebook.com/633398624818177/posts/1522118319279532;0;637;581;29;27
https://www.facebook.com/550231463815754/posts/1418378923667666;0;26;22;3;1
https://www.facebook.com/545739531039851/posts/1290349959912134;0;393;372;13;8
https://www.facebook.com/572333381692585/posts/1296213722637877;0;158;150;2;6
https://www.facebook.com/790750936413735/posts/1427039852784837;0;59;50;2;7
https://www.facebook.com/779072510075492/posts/1845472903435442;0;6;5;1;0
https://www.facebook.com/529554576038364/posts/1291019546558526;0;73;48;2;23
https://www.facebook.com/475015981334572/posts/1380187900817371;0;11;10;1;0
https://www.facebook.com/watch/?v=3405313116314734/;1400;6;6;0;0
https://www.facebook.com/529554576038364/posts/1293744272952720;0;45;34;11;0
https://www.facebook.com/633676638773315/posts/1458248109649493;0;11;8;3;0
https://www.facebook.com/475015981334572/posts/1383541117148716;0;14;11;3;0
https://www.facebook.com/600260255473093/posts/1399859168846527;0;17;14;1;2
https://www.facebook.com/781637770290031/posts/1539245897862544;0;38;26;4;8
https://www.facebook.com/575826604395749/posts/1621126593199073;0;3;2;1;0
https://www.facebook.com/545739531039851/posts/1291145749832555;0;182;145;19;18
https://www.facebook.com/475835447910404/posts/1414538634040076;0;3;0;2;1
https://www.facebook.com/1077942652920907/posts/2113690042679491;0;4;4;0;0
https://www.facebook.com/475015981334572/posts/1387094793460015;0;9;8;1;0
https://www.facebook.com/572333381692585/posts/1299661872293062;0;115;105;7;3
https://www.facebook.com/watch/?v=1627692958485604/;12000;339;338;1;0
https://www.facebook.com/633676638773315/posts/1464450225695948;0;7;5;2;0
https://www.facebook.com/678163761010030/posts/1397760532383679;0;6;6;0;0
https://www.facebook.com/475015981334572/posts/1389778716524956;0;37;35;1;1
https://www.facebook.com/636573654503689/posts/1559103825583996;0;363;336;14;13
https://www.facebook.com/798408471614720/posts/1823187302470160;0;21;19;1;1
https://www.facebook.com/633398624818177/posts/1539388524219178;0;367;341;16;10
https://www.facebook.com/633676638773315/posts/1468324431975194;0;29;8;21;0
https://www.facebook.com/633398624818177/posts/1537664494391581;0;206;177;13;16
https://www.facebook.com/529554576038364/posts/1305246641802483;0;93;76;3;14
https://www.facebook.com/633398624818177/posts/1541117050712992;0;241;219;14;8
https://www.facebook.com/781637770290031/posts/1548714416915692;0;19;18;1;0
https://www.facebook.com/633676638773315/posts/1470594038414900;0;27;8;2;17
https://www.facebook.com/633676638773315/posts/1469666561840981;0;60;9;1;50
https://www.facebook.com/600260255473093/posts/1413821584116952;0;26;24;1;1
