Date_Extracted,Published_Date,Heading,URL,Body_Snippet,Source_Site
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/WeFitnessOfficial/photos/1432422395580137/,WE Fitness Society added a new photo.,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/WeFitnessOfficial/photos/1431470169008693/,"May be an image of ‎one or more people, people practicing yoga, activewear. WE Fitness Society. 46 seconds ago · 󰟠.",www.facebook.com
2026-05-14,11 ก.พ. 2026,WE Fitness Society (@WeFitnessOfficial),https://www.facebook.com/WeFitnessOfficial/albums/1522486317771244/,WE Fitness Society. 130210 likes · 563 talking about this · 32158 were here. WE SOCIETY : JOIN WE NOW! มาก้าวเข้าสู่สังคมคนรักสุขภาพไปด้วยกัน.,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/photo.php?fbid=1402488125240231&set=a.629141985908186&id=100064371712153,WE Fitness Society added a new photo.,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/WeFitnessOfficial/photos/1431470175675359/,WE Fitness Society added a new photo.,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/photo.php?fbid=1402488118573565&set=a.629141985908186&id=100064371712153,WE Fitness Society. 7h· 󰟠. 󳄫. YOGA ON ICE ประสบการณ์ใหม่ที่แตกต่าง กับผลลัพธ์ที่ Flow มากกว่าเดิม ...,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo. - WE Fitness Society,https://www.facebook.com/WeFitnessOfficial/photos/1380967617392282/,WE Fitness Society added a new photo.,www.facebook.com
2026-05-14,26 ก.พ. 2026,Progress ค้าง 11 วิ #mypersonaltrainer Sunsun Utriyaprasit WE ...,https://www.instagram.com/reel/DVNX3tdjU0S/,Progress ค้าง 11 วิ #mypersonaltrainer Sunsun Utriyaprasit WE Fitness Society We Fitness Ratchada · Shoulder Stability. · ขาเดียวเสียวล้ม! · คนขยันอยู่ที่ไหนก็ลำบาก · ไม่มี ...,www.instagram.com
2026-05-14,Unknown,WE Fitness Society added a new photo.,https://www.facebook.com/photo.php?fbid=1325554412933603&set=a.629141985908186&id=100064371712153,May be an image of activewear and text. MESSENGER. WE Fitness Society. Gym/Physical Fitness Center.,www.facebook.com
2026-05-14,Unknown,WE Fitness Society added a new photo. - WE Fitness Society,https://www.facebook.com/photo.php?fbid=1385496286939415&set=a.629141985908186&id=100064371712153,WE Fitness Society added a new photo.,www.facebook.com
