Platform;URL;Author;Heading;Views;Engagement;Likes;Comments;Retweets_Shares;Reactions;Createtime
Facebook;https://www.facebook.com/share/p/1TMpdWoFmH/;;;0;584;561;0;23;0;
Facebook;https://www.facebook.com/806131804210598/posts/1536466571177114;;;0;12;12;0;0;0;
Facebook;https://www.facebook.com/791823442321928/posts/1505775270926738;;;0;436;380;14;42;0;
Facebook;https://www.facebook.com/share/p/1DpXNqaS6c/;;;0;1;1;0;0;0;
Facebook;https://www.facebook.com/637667685067845/posts/1437218078446131;;;0;2;1;0;1;0;
Facebook;https://www.facebook.com/share/p/14gT6SaEVi2/;;;0;0;0;0;0;0;
Facebook;https://www.facebook.com/573823624538508/posts/1499824218605106;;;0;0;0;0;0;0;
Facebook;https://www.facebook.com/803064174835132/posts/1599637335177808;;;0;1;1;0;0;0;
Facebook;https://www.facebook.com/708067084027105/posts/1495196615314144;;;0;1918;1700;16;202;0;
Facebook;https://www.facebook.com/GlobalBizNewsOnline/posts/pfbid036SBMRvPKqX7GBUUfw9h7JN8uvZsJypTjERjgaDKJyf8eAnHco51ZdtsjfvEy2Zhel;;;0;6;6;0;0;0;
Twitter;https://x.com/GlobalBizNewsM/status/2053435759684923442;;;0;0;0;0;0;0;
