Author;URLs;Heading;Views;Engagement;Action;Likes;Comments;Shares;Createtime;Duration
pearriepai;https://www.tiktok.com/@pearriepai/video/7627439670099741972;เห็นพรีเซนเตอร์แล้วอยากกินเป๊ปซี่เลย!! #เป๊ปซี่ซัมเมอร์นี้ซ่าไม่จบ #PEPSISUMMERENCORE #PEPSIxอ๊ะเบลอองจั๋ง ;10900000;61625;1125;60500;191;934;46123;66
pearriepai;https://www.tiktok.com/@pearriepai/video/7282765374351854854;ไม่เคยเสียใจเลยที่ได้เป็นแฟนคลับมาร์คลี ✨🐋 The thing that I never regret in my life is that I’m your fan. #nct #nctdream #nct127 #nctu #mark #marklee #nctzen #tiktokแฟนด้อม #nctdream_istjinbkk ;679100;74938;1238;73700;214;1024;45194;33
pearriepai;https://www.tiktok.com/@pearriepai/video/7644926714753371412;ฉันกับเพื่อน ที่ใช้ชีวิตโคตรสวนทาง 😂 #friends #vlog ;6019;742;34;708;0;34;46170;42
pearriepai;https://www.tiktok.com/@pearriepai/video/7644169506780237076;แล้ว 1:24 อ่ะ!!!  ฟินนนนนน เพื่อนเก่งมาก 👍🏼🥹 #ติ่งกับtiktok #บันเทิงtiktok #GMM #lolfanfest2026 ;492700;78675;7475;71200;151;7324;46168;404
pearriepai;https://www.tiktok.com/@pearriepai/video/7643836576664997140;ใครจะทำถึงได้เท่าชีในยุคนี้ ด่วนเลยก่อนจะหมด! #คุชชั่นโพก้าซัง #คุชชั่นตลับฟ้า #SkintificTH ;16900;883;25;858;6;19;46167;58
pearriepai;https://www.tiktok.com/@pearriepai/video/7643126549054524693;Deep talk: ปังปอนอยากเป็นแอร์ ✈️ #deeptalk #แอร์โฮสเตส ;58200;5925;294;5631;12;282;46165;76
pearriepai;https://www.tiktok.com/@pearriepai/video/7642585958558321940;ตอบกลับ @JJ ตื่นเต้นนนน ขออภัยหนูด้วยค่ะะ 🙏🏼😭💜 #BTS_WORLDTOUR #BTS_WORLDTOUR_BANGKOK #ARIRANGINBANGKOK #ติ่งกับtiktok ;199900;21469;2069;19400;143;1926;46164;51
pearriepai;https://www.tiktok.com/@pearriepai/video/7642580964295593237;ราคาผังคอนบังทัน BTS ที่ราชมังออกแล้ววว!! 💜😭 #BTS #BTS_WORLDTOUR #BTS_WORLDTOUR_BANGKOK #ARIRANGINBANGKOK #ติ่งกับtiktok ;518000;50460;9860;40600;290;9570;46164;86
pearriepai;https://www.tiktok.com/@pearriepai/video/7642387820350377237;แนะนำพบแพทย์ค่ะ… 😬 #เพื่อน;59300;7723;1920;5803;1;1919;46163;16
pearriepai;https://www.tiktok.com/@pearriepai/video/7642321490360274196;รอติดตามผลลัพธ์กันนะคะ 🙏🏼 @pungpond_sc #deeptalk ;24400;1654;74;1580;6;68;46163;43
pearriepai;https://www.tiktok.com/@pearriepai/video/7641971571707399445;นัตตุ้ยคัมแบคค่ะ!! @pungpond_sc #kissoflife ;25700;2518;192;2326;28;164;46162;38
pearriepai;https://www.tiktok.com/@pearriepai/video/7641566245757734165;สวยไม่เถียง!!  สวยจนอยากไปซื้อดื่มตาม 🥹👍🏼#vitaday ;8503;236;3;233;1;2;46161;60
pearriepai;https://www.tiktok.com/@pearriepai/video/7641523813234019604;ไม่มีอะไรหยุดชิดิตุ้ยได้!! @pungpond_sc #babymonster #kpop ;261600;18968;668;18300;28;640;46161;24
pearriepai;https://www.tiktok.com/@pearriepai/video/7641150679544827157;How to กิน Wall’s Ice Ball ยังไงให้ลุ้น ให้ฟินได้ขนาดนี้ #วอลล์ไอซ์บอลล์เลมอนซี๊ดดคูลล #สดชื่นฉ่ำคูลทุกบอลล์ #WallsIceBall #WallsThailand ;44200;325;13;312;3;10;46160;96
pearriepai;https://www.tiktok.com/@pearriepai/video/7640876420993994004;ถ้าไม่ใช่เวฟที่ศิลปินเอาใจช่วยแฟนคลับที่สุด! 555555 #ติ่งกับtiktok ;14400;1126;14;1112;3;11;46159;36
pearriepai;https://www.tiktok.com/@pearriepai/video/7640875484967996693;มีเนื้อยังร้องไม่ได้….. ไม่ได้ คือไม่ได้จริง😬 #kpop #ติ่งกับtiktok ;15700;1031;45;986;1;44;46159;66
pearriepai;https://www.tiktok.com/@pearriepai/video/7640773822236396821;;44400;3964;38;3926;8;30;46159;12
pearriepai;https://www.tiktok.com/@pearriepai/video/7640680805735370004;ให้ลุกเต้นเหมือน 7 ปีที่แล้ว ไม่ไหวจริง…. 🥹🥺 #ติ่งกับtiktok ;31600;2617;54;2563;2;52;46159;55
pearriepai;https://www.tiktok.com/@pearriepai/video/7640674736011234580;ไม่เอาไีรแล้วของจริง 55555555 #exo ;21100;2367;72;2295;10;62;46159;19
pearriepai;https://www.tiktok.com/@pearriepai/video/7640673237571095829;เม้นน่ารักมากๆ ใจฟู🥹🤍 #EXhOrizon_in_BANGKOK ;15600;1794;28;1766;6;22;46159;122
pearriepai;https://www.tiktok.com/@pearriepai/video/7640669611725278485;มีเรื่องราวเยอะทาก เกิดขึ้นพี่อิมแพคสำหรับติ่งแบบเราๆ 🥹 #ติ่งกับtiktok ;18100;1799;26;1773;3;23;46159;39
pearriepai;https://www.tiktok.com/@pearriepai/video/7640668618237201685;เสียงแอ๋วไทย ดังมากจริงๆ… 🥹👍🏼 #exo ;38100;5791;106;5685;6;100;46159;221
pearriepai;https://www.tiktok.com/@pearriepai/video/7640667533627886869;รีวิว #EXhOrizon_in_BANGKOK ค่ะ 😬 ;12900;312;19;293;3;16;46159;3
pearriepai;https://www.tiktok.com/@pearriepai/video/7640576324746202388;มีน้ำตา…. 😭 #EXhOrizon_in_BANGKOK ;16200;2438;24;2414;5;19;46158;68
pearriepai;https://www.tiktok.com/@pearriepai/video/7640529490120150292;exo-l trend 😜 #exo ;493300;77344;1644;75700;86;1558;46158;21
pearriepai;https://www.tiktok.com/@pearriepai/video/7640521348317482261;MAMA กลายเป็นเพลงเศร้าไปแล้ว 😭 #exo #exol #EXhOrizon_in_BANGKOK ;69100;9840;402;9438;29;373;46158;55
pearriepai;https://www.tiktok.com/@pearriepai/video/7640403096815947028;D-Day 😭 finally EXO in Bangkok 🇹🇭 #exo #exol ;15800;1488;14;1474;5;9;46158;19
pearriepai;https://www.tiktok.com/@pearriepai/video/7640320225660914964;สวัสดีวันเสาร์ค่ะพี่ๆ 🥹 #babymonster #ติ่งกับtiktok @pungpond_sc ;61000;6566;254;6312;41;213;46158;24
pearriepai;https://www.tiktok.com/@pearriepai/video/7640171260785315093;นี้เรากดไม่ได้เลยจริงๆเหรอเนี่ย !? ว้าววววว 😱 #ติ่งกับtiktok #บันเทิงtiktok ;333900;59889;6689;53200;167;6522;46157;31
pearriepai;https://www.tiktok.com/@pearriepai/video/7640098430718577941;ใคาว่าเป็นติ่งไม่เหนื่อย 😭 #ติ่งกับtiktok ;95000;15757;1557;14200;56;1501;46157;108
pearriepai;https://www.tiktok.com/@pearriepai/video/7639989649275882773;cry ของจริง…. เพราะหาบัตรวันอาทิตย์ไม่ได้เลยค่ะพี่ๆ 😭 #exo #exol #บันเทิงtiktok #ติ่งกับtiktok ;121400;19117;617;18500;30;587;46157;20
pearriepai;https://www.tiktok.com/@pearriepai/video/7639686977528352020;ดีฟทอฟ ฮีบใจกับ(สมมติว่าเป็น)ดารา 🥹 @pungpond_sc #deeptalk #บันเทิงtiktok ;100200;10166;666;9500;43;623;46156;61
pearriepai;https://www.tiktok.com/@pearriepai/video/7639581125056187669;มาแล้วๆๆๆๆ ผังวันกดคอนน้องเบมอนที่ไทยย!!! 😈 สู้กันต่อ..✌🏻 #babymonster #ติ่งกับtiktok #บันเทิงtiktok ;66000;4473;383;4090;42;341;46156;88
pearriepai;https://www.tiktok.com/@pearriepai/video/7639394539685301525;หลังกล้องมีชาวจีนรับชมหลายอัตราค่ะ 5555555 😂 #babymonster #ติ่งกับtiktok @pungpond_sc ;147700;14170;470;13700;32;438;46155;25
pearriepai;https://www.tiktok.com/@pearriepai/video/7638892781943000341;ประเทศไทยมี Staykid แล้ว!! #บิโอเร #BioreUV #StrayKids #SKZ #SUNLIGHTISYOURSPOTLIGHT ;108000;2688;38;2650;3;35;46154;66
pearriepai;https://www.tiktok.com/@pearriepai/video/7638607447019556117;ฮีลใจ ดีฟทอคกับ @pungpond_sc 🤍 #deeptalk ;386400;69666;16766;52900;166;16600;46153;31
pearriepai;https://www.tiktok.com/@pearriepai/video/7637135653658037524;ตั้งแต่หัว จรดเท้าให้แฟนคลับปอนด์ดูแล! 👍🏼😂 #ปอนด์ณราวิชญ์ #ติ่งกับtiktok #บันเทิงtiktok ;165100;26965;2865;24100;81;2784;46149;80
pearriepai;https://www.tiktok.com/@pearriepai/video/7636746610868800788;ยืนไกลเวทีแค่ไหน หนูก็ไม่กลัว !!  #OPPOFindX9UltraTH #กล้อง50MPซูมชัดออปติคอล10เท่า #ซูมดีทุกคอนเสิร์ต ;13000;1096;22;1074;2;20;46148;52
pearriepai;https://www.tiktok.com/@pearriepai/video/7636353355387817237;ตัวช่วยบูสต์ฟีลในช่วงนี้  #Cvitt #Cvittองุ่นเคียวโฮ ;426900;6593;33;6560;2;31;46147;43
pearriepai;https://www.tiktok.com/@pearriepai/video/7636291316204604692;คลิปนี้พักเด้ง มาเป็นเคะก่อน @pungpond_sc #เคะ #ติ่งกับtiktok #บันเทิงtiktok ;13600;879;27;852;4;23;46147;43
pearriepai;https://www.tiktok.com/@pearriepai/video/7636006346134949140;เหมาหมด! ทั้งชายหญิง 👍🏼 @pungpond_sc ;37400;3077;175;2902;9;166;46146;88
pearriepai;https://www.tiktok.com/@pearriepai/video/7635900255850073365;ทำงานๆๆๆ หาเงินๆๆๆ!!! 🥹 #ติ่งกับtiktok #บันเทิงtiktok ;49400;7609;385;7224;14;371;46146;46
pearriepai;https://www.tiktok.com/@pearriepai/video/7635653547048176917;มีผู้ชมจำนวนมาก👍🏼🥹 #kissoflife #ติ่งกับtiktok @pungpond_sc ;52900;6669;352;6317;31;321;46145;24
pearriepai;https://www.tiktok.com/@pearriepai/video/7635303984353299732;เที่ยวกับแก๊ง สบายใจมาก🥹 #friend #travel ;12400;705;7;698;1;6;46144;14
pearriepai;https://www.tiktok.com/@pearriepai/video/7634851744022875413;วันๆของน้องนัตตุ้ย 😬 อยู่อย่าง…. @pungpond_sc #บันเทิงtiktok #ติ่งกับtiktok #kissoflife ;32900;2927;299;2628;14;285;46143;54
pearriepai;https://www.tiktok.com/@pearriepai/video/7634574393913511188;จะเด้งจนกว่าพี่นัตตี้จะกลับไทยอีกรอบ! #kissoflife #บันเทิงtiktok @pungpond_sc ;44800;5289;382;4907;19;363;46142;22
pearriepai;https://www.tiktok.com/@pearriepai/video/7633736269314444564;ไอเท็มสำหรับ Summer นี้ ต้องมี ฟังแล้วไป wake up กันต่อ !!!!  #เป๊ปซี่ซัมเมอร์นี้ซ่าไม่จบ #PEPSISUMMERENCORE #PEPSIxอ๊ะเบลอองจั๋ง ;6052;126;1;125;1;0;46140;132
