Platform,Status,Media_Outlet,Tier,Matched_With
TikTok,Others,_boomwa896,Not Found,No Match
YouTube,Others,ลุงเล่นหุ้น,Not Found,No Match
YouTube,Others,หมีขาวอันดับหนึ่ง,Not Found,No Match
YouTube,Others,รู้ออนไลน์ ไว้ใช้งาน,Not Found,No Match
YouTube,Others,กรุงเทพธุรกิจ,2,Bangkok Biz News - กรุงเทพธุรกิจ
YouTube,Others,กวางสาวพราวรีวิว / CHITCHON CHANNEL,Not Found,No Match
YouTube,Others,ณภ RJ,Not Found,No Match
YouTube,Others,ทันหุ้น,Not Found,No Match
YouTube,Others,สาระก็มีนะเนี่ย,Not Found,No Match
YouTube,Others,ผัวมาดามแพม,Not Found,No Match
YouTube,Others,ฟอร์มหุ้น,Not Found,No Match
YouTube,Others,เรื่องเล่าเช้านี้,1,เรื่องเล่าเช้านี้
YouTube,Others,แนวคิดคนรวย [Podcast],Not Found,No Match
YouTube,Others,2465ch,Not Found,No Match
Website,Others,aia,Not Found,No Match
Website,Others,aio.panphol,Not Found,No Match
YouTube,Others,akanekikaku / avantgardey,Not Found,No Match
Facebook,Others,akarestaurant,Not Found,No Match
TikTok,Others,allway8888,Not Found,No Match
YouTube,Others,Alochar Channel,Page not found,9TANA Tech Channel
Website,Others,amarintv,1,Amarin TV
Website,Others,amway,Not Found,No Match
YouTube,Others,Ankle Mania,Not Found,No Match
Website,Others,antifakenewscenter,Not Found,No Match
TikTok,Others,antifakenewscenter,Not Found,No Match
X/Twitter,Others,babylego_,Not Found,No Match
Website,Others,bangkok-today,2,TODAY
Website,Others,bangkokbiznews,1,Bangkok Biz News - กรุงเทพธุรกิจ
Facebook,Others,bangkokbiznews,2,Bangkok Biz News - กรุงเทพธุรกิจ
Website,Others,bangkokhospital,1,Bangkok Post
Website,Others,bangkokx.me,1,Bangkok Post
Website,Others,banmuang,2,Banmuang
Website,Others,bdh.moph.go.th,Not Found,No Match
Website,Others,beartai,2,BT beartai
X/Twitter,Others,BEM_MRT,Not Found,No Match
YouTube,Others,Benyiam,Not Found,No Match
TikTok,Others,bestdrivermautoecole,Not Found,No Match
YouTube,Others,Big Ariya,Not Found,No Match
Website,Others,bizfocusmagazine,4,MBA magazine
YouTube,Others,BIZTODAY CHANNEL,1,TODAY
Website,Others,biztodaynews,2,TODAY
Website,Others,blockdit,Not Found,No Match
Website,Others,blueplus,4,Business Plus
Website,Others,brandage,2,Brand Age
Website,Others,brandbuffet.in.th,2,Brand Buffet
Website,Others,brandinside.asia,2,Brand Inside
X/Twitter,Others,brandinsideasia,2,Brand Inside
YouTube,Others,BTimes,3,Btimes
YouTube,Others,Business Line&Life Channel,Not Found,No Match
Website,Others,caltex,Not Found,No Match
